Date,MocHoa,MyTho,CaoLanh,BaTri,CangLong,ChauDoc,CanTho,SocTrang,PhuQuoc,RachGia,BacLieu,CaMau,ToanVung
Jul-82,155,142.9,82.8,195,241.7,117.4,361.5,204.1,458.3,402.5,185.6,452.3,249.925
Aug-82,181.5,224.4,149.2,241.1,283.4,126.6,318.5,286.5,601.8,606.5,232.8,465.9,309.85
Sep-82,218.1,157.2,111.9,251.3,286,76.9,269,334.8,380.1,157.2,303.2,330.1,239.65
Oct-82,482.3,321.7,315.3,196.7,162.9,286.2,316.6,284.7,274.6,355.6,304.3,475.6,314.7083333
Nov-82,201.5,173.7,155.3,0,58.2,264,79.8,130.9,182.4,172.4,135.6,208.7,146.875
Dec-82,5.9,0,7,0,21.3,71.9,17,43.2,45,16,42.5,14.5,23.69166667
Jan-83,5.5,0,0,0,0,0.4,0.3,1.7,4.8,0,1.6,1.4,1.308333333
Feb-83,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar-83,0,0,0,0,0,0,0,0,0,0,0,25.3,2.108333333
Apr-83,0,0,0,0,2.9,10,0,0,24.1,4,0,7.2,4.016666667
May-83,66.3,0,108.7,64.6,153.8,236.8,168,49.5,351.4,515.2,83.6,252.6,170.875
Jun-83,77.8,0,99.2,102.2,173.3,62.8,240.3,278.2,466.6,361,172.7,368.3,200.2
Jul-83,324.4,0,243.4,183.3,189.2,175.1,261.2,255.7,539.9,249.3,193,178,232.7083333
Aug-83,211.8,0,306.5,163.4,295,178.8,307.6,331.1,585.9,831.5,323.7,416.8,329.3416667
Sep-83,216.1,0,374,533.8,240.6,149.7,329.7,302.5,302.8,294.6,348.3,458.7,295.9
Oct-83,306.1,0,278.6,323.2,352.3,421,319.4,230.5,434.2,337.9,464.1,230.6,308.1583333
Nov-83,145.6,0,92.4,96.9,294.8,129.2,153.2,224,233.5,199,171.3,189.6,160.7916667
Dec-83,37.7,0,8.2,0.4,36.4,70,19.6,18.1,89.8,0,26,60.3,30.54166667
Jan-84,5.5,0.8,0.9,0,1,2.3,35.3,0.9,36.7,1.5,15,17.6,9.791666667
Feb-84,0,0,0,0,0.7,0,0,37.1,5.7,0.2,0,27.8,5.958333333
Mar-84,0,2,0,0,0,4.8,1.7,13.5,49.9,0,0.3,4.9,6.425
Apr-84,60.7,55.2,23.5,30.2,28.4,68.3,110.8,241.7,251.1,103.4,91,85.4,95.80833333
May-84,155,149,114.6,302.9,241.1,95.2,130.7,361,341.3,244.3,250.3,170.8,213.0166667
Jun-84,272.3,354.9,228.3,363.5,249.6,263.6,352.1,259.2,648.4,507.4,398.7,459.2,363.1
